DATA,ARTIGO,MAQUINA,METRAGEM
2023-11-13,BELLES 15,801,1712.0
2023-11-14,MURITI 10,903,2565.0
2023-11-14,MURITI 10,903,2470.0
2023-11-14,MURITI 10,804,4408.0
2023-11-14,MARCEL 30,840,485.0
2023-11-14,STILED 13,819,1771.0
2023-11-14,STILED 18,825,1971.5
2023-11-14,STILED 18,821,2066.132
2023-11-14,STILED 18,827,2444.66
2023-11-14,MURITI 10,906,2356.0
2023-11-14,MURITI 10,906,2356.0
2023-11-14,STILED 13,830,3059.0
2023-11-14,06 DE LYCRA,901,3949.4
2023-11-14,1653,904,1625.616
2023-11-14,1653,904,1738.506
2023-11-14,MURITI 14,838,2278.0
2023-11-14,MURITI 14,809,1876.0
2023-11-14,BALLI 16,815,832.0
2023-11-14,COS 16,816,784.41
2023-11-14,STILED 10,835,2827.2
2023-11-14,MURITI 10,806,2166.0
2023-11-14,MURITI 10,805,2204.0
2023-11-14,BELLES 15,811,1926.0
2023-11-16,BELLES 15,808,2332.6
2023-11-16,MURITI 10,813,2014.0
2023-11-16,BELLES 15,801,1840.4
2023-11-16,BELLES 15,807,1455.2
2023-11-16,BELLES 15,814,1712.0
2023-11-16,STILED 18,825,1151.356
2023-11-16,BELLES 24,824,959.4
2023-11-16,STILED 18,821,835.916
2023-11-16,BELLES 15,812,1733.4
2023-11-16,BELLES 15,810,1669.2
2023-11-16,BELLES 15,802,2161.4
2023-11-16,STILED 13,833,2967.0
2023-11-16,MARCEL 30,840,349.2
2023-11-16,TIRA CANAL,832,2173.41
2023-11-16,STILED 13,820,1679.0
2023-11-16,MURITI 10,906,1767.0
2023-11-16,MURITI 10,906,1767.0
2023-11-17,NEW CONF,908,2139.822
2023-11-17,TURIN,907,3714.5
2023-11-17,08 DE LYCRA,902,3678.84
2023-11-17,MURITI 14,804,2974.8
2023-11-17,MARCEL 30,840,333.68
2023-11-17,MURITI 10,806,2926.0
2023-11-17,COS 16,816,1212.27
2023-11-17,STILED 18,821,788.6
2023-11-17,BALLI 16,815,1081.6
2023-11-17,MURITI 14,809,2010.0
2023-11-17,MURITI 10,805,2242.0
2023-11-17,STILED 18,827,1608.744
2023-11-17,STILED 13,819,2081.5
2023-11-17,BELLES 15,808,1455.2
2023-11-17,BELLES 24,824,811.8
2023-11-21,BELLES 15,807,1904.6
2023-11-21,BELLES 15,802,1048.6
2023-11-21,06 DE LYCRA,901,3949.4
2023-11-21,BELLES 15,814,1712.0
2023-11-21,BELLES 15,812,1048.6
2023-11-21,MURITI 10,906,1330.0
2023-11-21,MURITI 10,906,1292.0
2023-11-21,MURITI 14,838,3457.2
2023-11-21,TIRA CANAL,832,3241.05
2023-11-21,STILED 13,830,3335.0
2023-11-21,BELLES 24,824,861.0
2023-11-21,STILED 18,821,2223.852
2023-11-21,STILED 18,827,2365.8
2023-11-21,STILED 18,825,2428.888
2023-11-21,MURITI 14,809,2680.0
2023-11-21,BELLES 15,811,2396.8
2023-11-21,BALLI 16,815,1414.4
2023-11-21,BELLES 15,810,2696.4
2023-11-21,MURITI 14,804,1554.4
2023-11-21,BELLES 15,801,2910.4
2023-11-21,BELLES 15,802,1284.0
2023-11-21,MURITI 10,813,2850.0
2023-11-21,BELLES 15,808,1027.2
2023-11-21,COS 16,816,1354.89
2023-11-21,NEW CONF,908,1614.96
2023-11-21,BELLES 15,807,1070.0
2023-11-22,STILED 18,821,1845.324
2023-11-22,STILED 13,819,2369.0
2023-11-22,STILED 13,820,1265.0
2023-11-22,STILED 18,827,930.548
2023-11-22,STILED 18,825,1529.884
2023-11-22,BELLES 15,812,1498.0
2023-11-22,TIRA CANAL,832,2097.15
2023-11-22,MURITI 10,805,3154.0
2023-11-22,STILED 13,833,3013.0
2023-11-22,MURITI 10,806,2280.0
2023-11-22,BELLES 15,801,1412.4
2023-11-22,BELLES 15,814,2054.4
2023-11-22,BELLES 15,807,1005.8
2023-11-22,BELLES 15,802,1262.6
2023-11-22,BALLI 16,815,832.0
2023-11-22,MURITI 10,903,1482.0
2023-11-22,MURITI 10,903,1425.0
2023-11-22,08 DE LYCRA,902,4147.056
2023-11-23,STILED 10,835,4104.0
2023-11-23,MURITI 14,809,1608.0
2023-11-23,STILED 13,830,3358.0
2023-11-23,BELLES 15,811,1498.0
2023-11-23,STILED 18,827,1151.356
2023-11-23,STILED 18,825,1419.48
2023-11-23,STILED 18,821,1198.672
2023-11-23,BALLI 16,815,243.2
2023-11-23,STILED 13,820,1311.0
2023-11-23,BELLES 24,824,984.0
2023-11-23,BELLES 15,801,342.4
2023-11-23,06 DE LYCRA,901,1565.6
2023-11-23,MURITI 14,804,2546.0
2023-11-23,NEW CONF,908,1278.51
2023-11-23,BELLES 15,808,1712.0
2023-11-23,MURITI 14,838,2438.8
2023-11-23,MURITI 10,813,2014.0
2023-11-23,BELLES 15,814,984.4
2023-11-23,COS 16,816,1592.59
2023-11-24,MURITI 10,906,1748.0
2023-11-24,MURITI 10,906,1805.0
2023-11-24,1653,904,1670.772
2023-11-24,1653,904,1580.46
2023-11-24,MURITI 10,903,1235.0
2023-11-24,MURITI 10,903,1311.0
2023-11-24,BELLES 24,824,504.3
2023-11-24,STILED 13,819,1725.0
2023-11-24,STILED 18,825,820.144
2023-11-24,BELLES 15,807,1861.8
2023-11-24,MURITI 14,803,2653.2
2023-11-24,STILED 13,820,1311.0
2023-11-24,MURITI 14,809,1876.0
2023-11-24,STILED 13,830,2323.0
2023-11-24,STILED 13,833,2415.0
2023-11-24,BELLES 15,801,1498.0
2023-11-24,BELLES 15,812,1926.0
2023-11-27,MURITI 10,906,1615.0
2023-11-27,MURITI 10,906,1615.0
2023-11-27,MARCEL 30,840,73.72
2023-11-27,MURITI 14,804,2117.2
2023-11-27,BELLES 15,810,2140.0
2023-11-27,BALLI 16,815,471.2
2023-11-27,BELLES 15,814,1198.4
2023-11-27,BELLES 15,807,577.8
2023-11-27,STILED 18,825,788.6
2023-11-27,MURITI 14,838,2224.4
2023-11-27,STILED 18,827,1734.92
2023-11-27,STILED 18,821,1151.356
2023-11-27,BELLES 24,824,504.3
2023-11-27,BELLES 15,802,1391.0
2023-11-27,BELLES 15,808,1391.0
2023-11-27,1653,904,1873.974
2023-11-27,1653,904,1964.286
2023-11-27,NEW CONF,909,1318.884
2023-11-28,MURITI 10,903,2793.0
2023-11-28,MURITI 10,903,2755.0
2023-11-28,06 DE LYCRA,901,2052.0
2023-11-28,COS 16,816,2115.53
2023-11-28,BELLES 24,824,528.9
2023-11-28,BALLI 16,815,395.2
2023-11-28,STILED 18,827,1104.04
2023-11-28,STILED 18,821,1072.496
2023-11-28,STILED 13,830,2806.0
2023-11-28,STILED 13,819,1725.0
2023-11-28,STILED 13,820,989.0
2023-11-28,BELLES 15,812,1070.0
2023-11-28,BELLES 15,801,1284.0
2023-11-28,BELLES 15,810,898.8
2023-11-28,MURITI 14,804,1795.6
2023-11-28,MURITI 14,809,1527.6
2023-11-28,BELLES 15,808,1412.4
2023-11-28,NEW CONF,908,1251.594
2023-11-29,08 DE LYCRA,902,4147.056
2023-11-29,NEW CONF,908,1749.54
2023-11-29,1653,904,2077.176
2023-11-29,1653,904,2077.176
2023-11-29,MURITI 14,803,1313.2
2023-11-29,BALLI 16,815,456.0
2023-11-29,COS 16,816,1212.27
2023-11-29,TIRA CANAL,832,2669.1
2023-11-29,BELLES 24,824,578.1
2023-11-29,MARCEL 40,840,174.6
2023-11-29,STILED 13,833,2691.0
2023-11-29,STILED 18,821,1261.76
2023-11-29,STILED 18,825,2255.396
2023-11-29,STILED 18,827,1151.356
2023-11-29,BELLES 15,807,1647.8
2023-11-29,BELLES 15,811,2011.6
2023-11-29,BELLES 15,814,1583.6
2023-11-29,BELLES 15,802,1819.0
2023-11-29,MURITI 10,903,2071.0
2023-11-29,MURITI 10,903,2090.0
2023-11-29,MURITI 10,906,2337.0
2023-11-29,MURITI 10,906,485.0
2023-11-30,BELLES 15,801,1840.4
2023-11-30,STILED 13,819,1840.0
2023-11-30,MURITI 14,838,2706.8
2023-11-30,STILED 13,830,2139.0
2023-11-30,BALLI 16,815,425.6
2023-11-30,MARCEL 40,840,283.24
2023-11-30,STILED 18,827,883.232
2023-11-30,STILED 18,821,962.092
2023-11-30,STILED 13,820,1679.0
2023-11-30,STILED 18,825,1119.812
2023-11-30,MURITI 14,809,2278.0
2023-11-30,BELLES 15,810,1754.8
2023-11-30,MURITI 14,804,2492.4
2023-11-30,COS 16,816,1307.35
2023-11-30,BELLES 15,812,1883.2
2023-11-30,BELLES 15,802,1134.2
2023-11-30,BELLES 15,808,1262.6
2023-12-01,MURITI 10,906,1900.0
2023-12-01,MURITI 10,906,1919.0
2023-12-01,NEW CONF,909,1278.51
2023-12-01,1653,904,2122.332
2023-12-01,1653,904,2144.91
2023-12-01,MURITI 10,903,368.6
2023-12-01,MURITI 10,903,368.6
2023-12-01,BELLES 15,802,920.2
2023-12-01,BELLES 15,811,1348.2
2023-12-01,BALLI 16,815,228.0
2023-12-01,MURITI 14,803,1688.4
2023-12-01,STILED 18,827,899.004
2023-12-01,BELLES 24,824,848.7
2023-12-01,STILED 18,825,1277.532
2023-12-01,STILED 18,821,835.916
2023-12-01,STILED 13,820,1081.0
2023-12-01,MARCEL 40,840,279.36
2023-12-01,BELLES 15,807,1262.6
2023-12-01,TIRA CANAL,832,1982.76
2023-12-04,MURITI 10,805,450.08
2023-12-04,BELLES 15,812,1241.2
2023-12-04,STILED 18,827,1104.04
2023-12-04,MURITI 14,804,3618.0
2023-12-04,STILED 13,830,2277.0
2023-12-04,STILED 18,821,709.74
2023-12-04,TIRA CANAL,832,1868.37
2023-12-04,STILED 18,825,1182.9
2023-12-04,BELLES 24,824,590.4
2023-12-04,MURITI 14,838,2224.4
2023-12-04,MARCEL 40,840,306.52
2023-12-04,STILED 13,819,1909.0
2023-12-04,BELLES 15,801,1498.0
2023-12-04,MURITI 14,803,1474.0
2023-12-04,MURITI 10,805,450.08
2023-12-04,MURITI 10,806,620.8
2023-12-04,MURITI 14,809,1742.0
2023-12-04,BELLES 15,810,1712.0
2023-12-04,NEW CONF,909,1951.41
2023-12-04,MURITI 10,906,395.76
2023-12-04,MURITI 10,906,399.64
2023-12-05,BELLES 15,807,1305.4
2023-12-05,BALLI 16,815,653.6
2023-12-05,STILED 13,820,1656.0
2023-12-05,MURITI 10,903,384.12
2023-12-05,MURITI 10,903,376.36
2023-12-06,BELLES 15,801,1926.0
2023-12-06,MURITI 14,803,2787.2
2023-12-06,STILED 13,819,1466.796
2023-12-06,STILED 18,825,1656.06
2023-12-06,STILED 18,827,1734.92
2023-12-06,BELLES 24,824,922.5
2023-12-06,MURITI 14,809,1956.4
2023-12-06,MURITI 10,813,364.72
2023-12-06,STILED 13,820,1265.0
2023-12-06,BELLES 15,812,2140.0
2023-12-06,MURITI 14,804,3484.0
2023-12-06,BELLES 15,810,2268.4
2023-12-06,MURITI 10,906,399.64
2023-12-06,MURITI 10,906,399.64
2023-12-06,MURITI 10,903,364.72
2023-12-06,MURITI 10,903,372.48
2023-12-11,STRIPE DUPLO,842,1770.2
2023-12-11,MURITI 10,903,337.56
2023-12-11,MURITI 10,903,349.2
2023-12-11,MURITI 10,906,446.2
2023-12-11,MURITI 10,906,434.56
2023-12-11,BELLES 15,810,2140.0
2023-12-11,BELLES 15,812,2011.6
2023-12-11,BELLES 24,824,1143.9
2023-12-11,STILED 18,827,1056.724
2023-12-11,MURITI 14,838,2438.8
2023-12-11,MURITI 14,804,3484.0
2023-12-13,STILED 18,827,2208.08
2023-12-13,MURITI 14,804,3484.0
2023-12-13,MURITI 14,803,2760.4
2023-12-13,BELLES 15,801,3424.0
2023-12-13,BELLES 15,814,2354.0
2023-12-12,BELLES 15,807,727.6
2023-12-12,MONE 15,841,96.9
2023-12-12,STILED 18,825,2160.764
2023-12-14,BELLES 24,824,1340.7
2023-12-14,BELLES 15,812,2996.0
2023-12-14,BALLI 16,815,760.0
2023-12-14,STILED 18,825,1782.236
2023-12-14,MURITI 14,838,3886.0
2023-12-14,BELLES 15,807,1690.6
2023-12-15,STILED 18,827,2602.38
2023-12-15,BELLES 15,814,2354.0
2023-12-15,MURITI 14,803,2412.0
2023-12-15,MURITI 14,804,2974.8
2023-12-15,BELLES 24,824,738.0
2023-12-18,BALLI 16,815,577.6
2023-12-18,BELLES 15,812,2140.0
2023-12-18,STILED 18,825,2350.028
2023-12-18,MONE 15,841,142.8
2023-12-18,BELLES 15,807,1562.2
2023-12-19,STILED 18,827,2192.308
2023-12-19,MURITI 14,803,2144.0
2023-12-19,MURITI 14,838,3510.8
2023-12-19,BELLES 24,824,922.5
2023-12-19,STRIPE DUPLO,842,354.04
2023-12-20,STILED 18,825,2239.624
2023-12-20,MURITI 14,804,3189.2
2023-12-20,BELLES 15,807,1647.8
2023-12-20,BELLES 15,814,3210.0
2023-12-21,STILED 18,827,1971.5
2023-12-21,BALLI 16,815,912.0
2023-12-21,BELLES 15,812,2696.4
2023-12-21,MURITI 14,803,938.0
2023-12-21,BELLES 15,801,2568.0
2023-12-21,MONE 15,841,188.7
2023-12-26,MURITI 14,838,3216.0
2023-12-26,STILED 18,825,2460.432
2023-12-26,MURITI 14,804,2814.0
2023-12-26,BELLES 15,807,1819.0
2023-12-26,STILED 18,827,1892.64
2023-12-26,BELLES 15,814,2140.0
2023-12-26,BELLES 24,824,1143.9
2023-12-26,BELLES 15,801,1070.0
2023-12-27,MURITI 14,803,2063.6
2023-12-27,BELLES 15,812,2354.0
2023-12-27,BALLI 16,815,790.4
2023-12-27,STILED 18,827,1466.796
2023-12-27,BELLES 15,808,877.4
2023-12-28,STILED 18,827,1025.18
2023-12-28,STILED 18,825,3658.2
2023-12-28,BELLES 24,824,1045.5
2023-12-28,MURITI 14,804,3216.0
2023-12-28,BELLES 15,807,1605.0
2023-12-28,1653,904,2099.754
2023-12-28,1653,904,2099.754
2024-01-02,MURITI 14,838,3644.8
2024-01-02,STILED 18,827,1876.0
2024-01-02,STILED 18,825,2278.0
2024-01-02,BELLES 15,814,3424.0
2024-01-04,BELLES 15,801,4237.2
2024-01-04,MURITI 14,804,4422.0
2024-01-04,MURITI 14,803,4020.0
2024-01-04,BELLES 15,812,3552.4
2024-01-04,BALLI 16,815,760.0
2024-01-04,BELLES 24,824,1266.9
2024-01-04,STILED 18,825,2680.0
2024-01-04,STILED 18,827,2251.2
2024-01-04,BELLES 15,807,2461.0
2024-01-04,1653,904,2370.69
2024-01-04,1653,904,2415.846
2024-01-08,1653,904,2032.02
2024-01-08,1653,904,2032.02
2024-01-08,STILED 18,827,1876.0
2024-01-08,BELLES 15,850,4151.6
2024-01-08,BELLES 15,814,2439.6
2024-01-08,MURITI 14,838,2800.6
2024-01-10,STILED 10,835,4772.8
2024-01-10,BELLES 15,812,2140.0
2024-01-10,MURITI 14,804,3484.0
2024-01-10,MURITI 14,803,2438.8
2024-01-10,STILED 18,827,2278.0
2024-01-10,STILED 13,820,1472.0
2024-01-10,STILED 18,825,4046.8
2024-01-10,BALLI 16,815,699.2
2024-01-10,1653,904,1919.13
2024-01-10,1653,904,1919.13
2024-01-11,BELLES 15,807,2717.8
2024-01-12,MURITI 10,806,838.08
2024-01-12,BELLES 15,801,3424.0
2024-01-12,MURITI 14,838,3296.4
2024-01-12,BELLES 15,850,2782.0
2024-01-12,STILED 18,827,1929.6
2024-01-12,STILED 18,825,1742.0
2024-01-12,BELLES 15,814,1926.0
2024-01-12,BALLI 16,815,684.0
