09/11/23	STILED 13	819	15,6	1.794,00
09/11/23	TIRA CANAL	832	20	3.813,00
09/11/23	08 DE LYCRA	902	8	2.675,52
10/11/23	BELLES 15	810	11,4	2.439,60
10/11/23	BELLES 15	812	9,4	2.011,60
10/11/23	STILED 18	825	15	1.182,90
10/11/23	STILED 18	821	19,2	1.514,11
10/11/23	BELLES 24	824	8	984,00
10/11/23	STILED 13	833	21	2.415,00
10/11/23	STILED 13	830	21,8	2.507,00
10/11/23	STILED 10	835	18	2.736,00
10/11/23	MURITI 14	804	18	2.412,00
10/11/23	MURITI 10	818	6,7	1.273,00
10/11/23	BELLES 15	802	8,4	1.797,60
10/11/23	BELLES 15	808	7,7	1.647,80
10/11/23	MURITI 10	903	10,2	1.938,00
10/11/23	MURITI 10	903	10,5	1.995,00
10/11/23	MURITI 10	906	8,2	1.558,00
10/11/23	MURITI 10	906	8,7	1.653,00
10/11/23	1653	904	9	2.032,02
10/11/23	1653	904	8,9	2.009,44
10/11/23	BALLI 16	815	5	2.080,00
10/11/23	BELLES 15	801	6,8	1.455,20
10/11/23	NEW CONF	908	21	1.413,09
10/11/23	BELLES 15	811	6	1.284,00
13/11/23	MURITI 10	818	10	1.900,00
13/11/23	BELLES 15	807	12,1	2.589,40
13/11/23	MURITI 10	805	24	4.560,00
13/11/23	BELLES 15	810	9	1.926,00
13/11/23	BELLES 15	812	8	1.712,00
13/11/23	BELLES 15	814	16,2	3.466,80
13/11/23	MURITI 10	806	22,2	4.218,00
13/11/23	NEW CONF	909	37,4	2.516,65
13/11/23	BELLES 24	824	7	861,00
13/11/23	BALLI 16	815	6	2.496,00
13/11/23	MURITI 10	813	18,6	3.534,00
13/11/23	BELLES 15	801	8	1.712,00
14/11/23	MURITI 10	903	13,5	2.565,00
14/11/23	MURITI 10	903	13	2.470,00
14/11/23	MURITI 10	804	23,2	4.408,00
14/11/23	MARCEL 30	840	12,5	485,00
14/11/23	STILED 13	819	15,4	1.771,00
14/11/23	STILED 18	825	25	1.971,50
14/11/23	STILED 18	821	26,2	2.066,13
14/11/23	STILED 18	827	31	2.444,66
14/11/23	MURITI 10	906	12,4	2.356,00
14/11/23	MURITI 10	906	12,4	2.356,00
14/11/23	STILED 13	830	26,6	3.059,00
14/11/23	06 DE LYCRA	901	9,1	3.949,40
14/11/23	1653	904	7,2	1.625,62
14/11/23	1653	904	7,7	1.738,51
14/11/23	MURITI 14	838	17	2.278,00
14/11/23	MURITI 14	809	14	1.876,00
14/11/23	BALLI 16	815	2	832,00
14/11/23	CÓS 16	816	6,6	784,41
14/11/23	STILED 10	835	18,6	2.827,20
14/11/23	MURITI 10	806	11,4	2.166,00
14/11/23	MURITI 10	805	11,6	2.204,00
14/11/23	BELLES 15	811	9	1.926,00
16/11/23	BELLES 15	808	10,9	2.332,60
16/11/23	MURITI 10	813	10,6	2.014,00
16/11/23	BELLES 15	801	8,6	1.840,40
16/11/23	BELLES 15	807	6,8	1.455,20
16/11/23	BELLES 15	814	8	1.712,00
16/11/23	STILED 18	825	14,6	1.151,36
16/11/23	BELLES 24	824	7,8	959,40
16/11/23	STILED 18	821	10,6	835,92
16/11/23	BELLES 15	812	8,1	1.733,40
16/11/23	BELLES 15	810	7,8	1.669,20
